account_id,account_name,industry,segment,country,created_date
A0418,Vertex Dynamics,Healthcare,SMB,Netherlands,2025-04-25
A0419,Ember Dynamics,Telecom,Mid-Market,United Kingdom,2025-12-08
A0420,Quanta Industries,Media,SMB,Netherlands,2025-06-26
A0421,Slate Solutions,Fintech,Enterprise,Belgium,2025-01-11
A0422,Harbor Dynamics,Education,SMB,France,2024-09-23
A0423,Cobalt Analytics,Retail,Mid-Market,Sweden,2024-08-04
A0424,Cedar Works,Education,SMB,Spain,2025-09-12
A0425,North Group,Energy,SMB,Ireland,2025-08-13
A0426,Cedar Solutions,Energy,Mid-Market,France,2025-07-14
A0427,Delta Logistics,Healthcare,Mid-Market,Denmark,2024-09-11
A0428,Delta Analytics,Media,Mid-Market,Netherlands,2024-08-10
A0429,Quanta Systems,Telecom,Mid-Market,Germany,2025-08-11
A0430,Slate Dynamics,Media,SMB,Germany,2026-02-25
A0431,Quanta Solutions,SaaS,SMB,France,2024-07-24
A0432,Pulse Labs,Logistics,SMB,France,2026-04-17
A0433,Summit Labs,SaaS,Mid-Market,United Kingdom,2024-07-19
A0434,Lumen Works,SaaS,SMB,Sweden,2024-09-01
A0435,Summit Labs,SaaS,Enterprise,France,2024-08-13
A0436,Harbor Logistics,Logistics,SMB,Belgium,2024-09-14
A0437,Atlas Systems,Manufacturing,Mid-Market,Sweden,2024-10-16
A0438,Cedar Digital,Fintech,SMB,Spain,2026-04-04
A0439,Lumen Solutions,Fintech,SMB,Germany,2025-05-29
A0440,Summit Group,Healthcare,SMB,Sweden,2025-01-10
A0441,Ember Digital,Energy,Mid-Market,Sweden,2026-03-06
A0442,Lumen Digital,Fintech,Enterprise,France,2026-02-21
A0443,Pulse Industries,Retail,SMB,Germany,2025-09-24
A0444,Apex Solutions,SaaS,Mid-Market,France,2025-03-21
A0445,Quanta Holdings,Logistics,SMB,Sweden,2025-08-26
A0446,Nova Systems,SaaS,Enterprise,United Kingdom,2024-06-10
A0447,Slate Analytics,Healthcare,Enterprise,Ireland,2025-06-30
A0448,Summit Digital,Manufacturing,SMB,Germany,2024-07-25
A0449,Orbit Dynamics,Education,SMB,Denmark,2025-06-05
A0450,Nova Digital,Media,Mid-Market,France,2025-07-22
A0451,Quanta Systems,SaaS,Mid-Market,Spain,2025-08-08
A0452,North Digital,Media,Mid-Market,Germany,2024-05-13
A0453,Cedar Labs,Telecom,Mid-Market,Denmark,2025-01-21
A0454,Vertex Group,Healthcare,SMB,Belgium,2024-05-31
A0455,Summit Holdings,Healthcare,SMB,Italy,2026-02-02
A0456,Delta Analytics,Retail,SMB,Denmark,2025-05-12
A0457,Nova Solutions,Media,SMB,Germany,2025-10-04
A0458,Quanta Systems,SaaS,SMB,France,2024-10-01
A0459,Slate Systems,Education,SMB,Ireland,2026-03-03
A0460,Harbor Analytics,Energy,SMB,United Kingdom,2024-07-19
A0461,Apex Works,SaaS,Mid-Market,United Kingdom,2025-10-11
A0462,Slate Systems,Retail,Enterprise,United Kingdom,2025-03-15
A0463,Orbit Systems,Healthcare,SMB,Denmark,2025-03-08
A0464,Lumen Analytics,Telecom,Mid-Market,Italy,2024-11-17
A0465,Orbit Group,Fintech,Mid-Market,Italy,2024-05-25
A0466,Harbor Solutions,Education,SMB,Italy,2024-05-02
A0467,Summit Works,Logistics,Mid-Market,United Kingdom,2024-12-30
A0468,Slate Industries,Fintech,SMB,United Kingdom,2024-06-14
A0469,Pulse Holdings,Energy,Enterprise,France,2024-07-26
A0470,Orbit Digital,Logistics,Mid-Market,Denmark,2024-07-03
A0471,Slate Dynamics,Healthcare,SMB,France,2025-06-07
A0472,Cedar Logistics,Healthcare,Mid-Market,Netherlands,2024-11-24
A0473,Nova Labs,Fintech,SMB,Spain,2025-03-18
A0474,Orbit Industries,Healthcare,SMB,France,2025-01-27
A0475,Apex Group,Logistics,Enterprise,Ireland,2026-01-08
A0476,Quanta Logistics,SaaS,SMB,United Kingdom,2025-04-30
A0477,North Logistics,Education,SMB,Germany,2025-06-19
A0478,Orbit Holdings,SaaS,Enterprise,Germany,2024-09-21
A0479,North Group,Healthcare,SMB,Germany,2025-06-15
A0480,Atlas Digital,Manufacturing,SMB,United Kingdom,2024-07-16
A0481,Apex Solutions,Retail,SMB,Germany,2025-04-05
A0482,Slate Systems,Telecom,SMB,Spain,2025-06-09
A0483,Summit Networks,Logistics,SMB,Italy,2025-02-06
A0484,Pulse Systems,Media,SMB,United Kingdom,2025-02-27
A0485,Pulse Networks,SaaS,SMB,France,2025-07-04
A0486,Pulse Holdings,Media,SMB,Belgium,2024-05-20
A0487,Nova Analytics,Manufacturing,Enterprise,Spain,2025-12-01
A0488,Summit Dynamics,Logistics,Mid-Market,United Kingdom,2025-02-12
A0489,Slate Holdings,Energy,SMB,Italy,2024-10-11
A0490,Atlas Logistics,Education,SMB,Italy,2024-06-27
A0491,Slate Holdings,Telecom,Mid-Market,France,2024-10-25
A0492,Ember Group,Media,SMB,Italy,2024-05-29
A0493,Harbor Holdings,Fintech,Mid-Market,Italy,2025-09-17
A0494,Vertex Systems,SaaS,Mid-Market,Sweden,2024-05-21
A0495,North Industries,Healthcare,Mid-Market,Germany,2024-10-29
A0496,Quanta Logistics,SaaS,Enterprise,Denmark,2024-09-23
A0497,Quanta Solutions,Telecom,Mid-Market,France,2026-03-10
A0498,Apex Logistics,Fintech,SMB,Germany,2025-07-22
A0499,Slate Digital,Fintech,Mid-Market,Italy,2026-04-11
A0500,Ember Analytics,Media,Enterprise,Belgium,2025-05-23
